buyer_id,total_transactions,flagged_transactions
0bb440f2ae8461ca7b424f9b0efddbb2a1993e07a6d629a5b9f82f5818264d1b,992,992.0
b4c5286fbf6443dd4df37457f3ef23a2b71253b1c86452f824e8856befba3483,450,450.0
02611e2fdd7d730bddbd654baf24f03a739704bcb34c010c3cb54d3069087eea,372,372.0
39f2037996f6cd1910ab274530835a9a87ba0074e5ed1c0064b0c43a43701f3b,113,113.0
558ee63bc4cb36f457848cb954f7d05c810f36b4596ed10ed85996f74eb8c424,112,112.0
12f7e7ab41e58c5de499fbe19486c45685ee83f84b207c8dfee8b11bf9ea2b4b,99,99.0
5bf35dd8aa92e195e7521eba2002cbc70572885691aa05c12c83db1b18a13396,96,96.0
576ce938a1c057c31694b9e821cf519a0db46bcc77693242bed295e7c0fc4dbb,91,91.0
0719f2ed66328a141dc1807848bcc72edd027567ae4fc4968306a04287c64afa,90,90.0
1881088503a58d8b203e81c043894f170f072eefab722817e688ede7112c1da7,87,87.0
5e34de7da3795a555c8ef5f2138dd2284372b3b13c477c98350d6188f1ea532f,87,87.0
9506dece8982a8d50fbb2924dd510825ea1516c19852aa5aa3fd2d15811de6f2,86,86.0
34d1c64bbd54c2912026f19d45b7274b31f3e5f3ca9a81626659c36891d8f525,78,78.0
1e485a67dcbe9fd3838a47c6b703c91b78972e3e2c327c7f3b5200ca4d94a84b,78,78.0
316381f7db51ce298148f09cebcf7ad93214cc42e6a4d5984317f459268f2289,70,70.0
45d927424a2651c289946309010fddff482c94333bc4038a9414c463ea1a648e,67,67.0
3e174df1eb0f2e62ae5a8f02e914576fa65b8a0d2f94383f953d2459a6e36a7b,61,61.0
6ae0c0783ced0c9c4b857229005fd70ab3b631479431e8a21a085586b47edf7e,60,60.0
6328714f366f41f89c51c971272888ae768d7369af43341cc96352a6808bed3c,60,60.0
91280330cf35579339a1a0c28c1fb620a77ec00b341b5656f4723f309f447c26,57,57.0
b5f5aa6b663fea3c268dca75e51fc2d96a1d932593863453eee26e1284e687fd,56,56.0
1a8d6a2245e8ccc2cc3d3024b15d0137a2e49cfb0adce309b32dfef7406aa47b,51,51.0
d31f121a1f052b1c166abcde835c6b085a7ed12cc06cb15567720fb5430b0c2e,50,50.0
b614c4291df488aafefcb1fc65ba9f63ea8ca6c66d71c7ad807ff1ea7d9e3867,49,49.0
c799c01d50a17e52ffa074b3a6bad0f50781c6daad7d38b50cfa12abf61e8057,49,49.0
c1158326d004154f5cc5fd9a65f0e98ab4ae0ffd74745334e01f211a02f4e063,49,49.0
746b46d30b7398728236ddcc54bad2518cc31a22b01951ca273e3c02a0a96248,48,48.0
1bd3cf190932ff69823fe707a3fef0247224541b1d7faed87c51a31644f8ef6f,48,48.0
a6b4dd5eadae551adebeb201d2cf6cad7217f690478606cce57a5ff33bc1f49d,45,45.0
c07d0e95700f3f984f37a0c698c3edc811ffea6d0803348756b6b1a98df7108d,45,45.0
826de0083aa830dc56d9a7823622e1029662394e0329b3d9cdf5b743208e05dc,45,45.0
2a725c247c864cd9ea76c2c9c6af13083c70f92939d828336467a5068cd7564d,45,45.0
67b9b39552bb679eb2d68a267eaa27ee1ba32cb01e383b2fd9d1e1571eab241d,45,45.0
09574e064bb497b366ab55675ed26ce4dd09b892e6a5228a876da5d3a1f2cd62,44,44.0
05db8bbeef844b9e5e5599dd8caff2d34c7789d5e827c4c0168b14e565a8b71c,44,44.0
33cc542f6f66845b6df7d03e21636c37ab9596287d5585ce50b9a2103cb4c5e3,43,43.0
20127d383365444b40e3811bfb45b3992ae8027ac86c06b88af0cea75a9cca47,40,40.0
bdb7c78dfacb85e5972f028e908c621d4e4a2cdefeda3d415cd34bb5de057ea8,40,40.0
fd89f86583687ca517a268895837fd465203b8c102d01b4f8af7e760502609de,39,39.0
f13b2c7285a6fe4ff802b8d8883dade0d396929073781a9a1f7fdb09999a42a4,39,39.0
d76c958f4e0dd86f00a166da4c5d11d13f2a144a21f308772d405d7260f6db8f,39,39.0
31ad122244ba1751a67800f4fd34945fec0ad93aa1cd684d1590fbaefe6f62f4,38,38.0
6802c76bb9086e2a405981e40778048f4530e51e36ac2f6ed14ca48513164933,38,38.0
7054b8362efbff733a33f248f3bf7f8676a9bc8908c368d9de5123aabbcbc080,38,38.0
a2d8e6b75e768bcbbeac0ecb3e77eda0736d19a91f846efc45e03156084f9bc3,38,38.0
dd407742b429c4323163db61eed4af23b3859e9f74629219fb8093b14162ed74,37,37.0
d577fd41926e91385c457735fd55655e3bcf2952dccf59816304a9a5c960014a,37,37.0
9203f5ebb08fee8355b03b0f7ebf4aa98cc3687a836cf45ca311fd8824522853,36,36.0
613581d100888f60ab31b4ffe3d68dea36df96250b853a796903d8c3bc10428a,35,35.0
71aedd9f301da0ef2b97415a4020ad0a3c808daf5414a35331f720b04735dd54,35,35.0
ada3cfdce79ea39b7768f0c7ffe26b6f4b8b310bf92ddb83da3c6613f9b77bf6,35,35.0
a19f16ee4284b6b365637415b7f1caf469bed1bf4dcbbee3c27779d98602dae4,35,35.0
953fafcb3e4d2fd52c481ebbcf80aec6140a31c530f0bca1c1cdd772d9a64383,35,35.0
f0798f4d087edcdbdc15c07a74b03db591a944dd7126980d927e1843b76deb1a,34,34.0
55d8027d2419eb22740ee1735bb4d59fcc9e0f3a034e45470598de2d4c5a3a94,34,34.0
8ce61e4c928ef697e1e10954fe2876c3fbcb1fce519f6a7142033d6fec468a47,34,34.0
cb9d01af913d4666922eaf818eb79afae15e12be87c7e61e7e412c65e30a10f0,33,33.0
72d999024f5c412885c80dd6291aac3c84c4af118983be0c6f5ffa138c7b4593,33,33.0
bbd8bba50d7d4479e3d98126c606d6010a075d335199807b71b4ff8ea4eeba25,33,33.0
10f3200ad77826457a7b33726d1ec95de21ee6400745aabd3d9c73992814a7e3,33,33.0
443514213d7bc7a895ea2edd23f26b12cea812a478edfeacc7531298aa8a2113,31,31.0
51735a0d0780189ed3852febcc4a97b0c8f725a9588c3ad1df55ba988acfa114,31,31.0
07915d554877628d58df6c25467129352bf98e9b604c5b06daae791e3d0e7c6e,30,30.0
9ef0f7ee668c4fae0d4c388c68b7b52bf393b8202e5c9809847690769881970b,29,29.0
10da36163251099d5f1bc10c58c9cbb16dd462d7ee8c5b02f6d1b6caf951010d,29,29.0
44107860b892a4359c0757c5185f57045c03d8d00c6b8d2d9922b12f01f41c95,28,28.0
0c977a15cdbf90bbfda190eeaa7f0607ad8a5d2e8df27e55b60a67539a3756d9,28,28.0
e4d343fd1d1002d850025dc31d21863baa0d8c99f6768c9c3c3d6cbb32fc62e3,28,28.0
8f0c0689fca8f8ed79a1d8b1dcb046ecbfdc6a4fdf2c1cb8975952e28ea34a1c,28,28.0
a3d7e54701d79195a321bde0b1baa6dfdbd34ab263970fa05883ed72295bc382,27,27.0
9690fe2001507527378c5e1f0e872ab7f193632d1d6025473e73570126b5eb53,27,27.0
5dccf559b1460021648be182e447b6abd08c7f88acfbbb82987ef668648b0775,26,26.0
e86bd6df55286c8cb120958807c7307bc3d2b23b2c5827eed0e10b383ff9c388,26,26.0
923da1df01b3c63925b43c2e6a98b00c328fb3e3d9bf336760bb474201e8f27b,26,26.0
7f5780906f6a1ff9bb88d727ab48ea721fd69b65bca1c8c7bd93562b427d4d80,26,26.0
20c73581cf9debc7df98bfad1be890871116d116c18aeb5d12244f1e8b5d6201,25,25.0
cca8c235841dc394e589230a0d96c0abcd23f4a65e352a1f807a6f88dff1ec9d,25,25.0
0fe36baa803c6718b95994af1e4a31cf1cbce48c09a62371a1b87abec15eede2,25,25.0
947bb768a1090f9f074568d0f7fcc888b258a21a4694ff0c68349ded21addca1,25,25.0
e160840e134c5d83566c5c5b5401fd2ad362de00ba263983afaed2c91593ec81,24,24.0
d4f40869c908fd6d272383b10bf1f59c6b57152debe23bec302177f07e1cc509,24,24.0
b13aa5ba4ea9bb2443cac2caa92fb8d6b3a86f3d3b35b5da314b7538934f1f4d,24,24.0
bbf6cb5a4d4172b4a6bcb824a684b9de7aa74fa27e6cce2b7aac7709a4bb5261,24,24.0
8b968cbeaecc9c9928088a77bdb7b7512a1f53cb6f739b28d2ad3b174ec575d1,24,24.0
67be2ad9dc1d49ecf7860e79d7ef7afb311c663570c7d257179ae5121f6c156d,23,23.0
d20feaa1595b42c5426acfa4fcbd30f41fd3db08803ef258c1ae201d0d416d8f,23,23.0
3a4e77606b84b7d89d37b6ab3a0a9904a1bea288d6e08f08e34949fac0ea8b58,23,23.0
6691a467677829769dcf09c2a14b6612fb8013af86fdf7c3772d3cb1b1b3bab5,23,23.0
adf024dab63cd741acb845cf75ac28a836cfba564df2669fe5b5e73a20c19b84,23,23.0
d7038125cd4850d7254a45bf25736c5dd2a44919191dad7fd6882ec175ea68a4,23,23.0
67db0dab27023e52e8840dbf30391b58f3f9006c99d0e524cde21b311549d31f,23,23.0
5389ff4a9ef43251695510a285b7f1e509317b2fbe3d89805cdc8675d044dea0,23,23.0
c3bcb0f91815c3c71765803a8c15658657f94ff652a5a2a0e7d21a144ecb6585,23,23.0
817ae8c74771491224fadb474e694dcaa255983ed1000f4f7dca1f8a02ca58a8,23,23.0
4c6c71fde622b4d3b805242059f4464d93cdb4e1f14067bc2c9a81cf04c9087d,23,23.0
ff297354f3294e46eb09787675d6e2847cd76be14cba7d236172ea6d16f0a03b,23,23.0
38ca1721167afa4a73060bd4228686db62e3b972f874c1721567c5c2dad64804,23,23.0
5faa2d14559a5f1e12114b9f4869a99111a079d57fb2decc8dd85e51b00d8afe,23,23.0
d6b762509e106d03205b7df124133b6a509b0741d5e801561c6e96fb3a9f6a94,22,22.0
b6b3dcc26af10b5d1b44b2b008029ddc831ee7c0d940e42ade145308b494df2e,22,22.0
4755af5b9840de287023a2e3e7fc73248a3d1a6aed451681acdd02e5738eb3f5,22,22.0
631bcc4c2ebd93023e94be2e5c4f8b89abc918448b4a4298672b84e9dea49eac,22,22.0
75d90599fbcb11f9297a7e7b522f31c9f79f4b03df24528881ad75cd00375457,22,22.0
43f8e62dc5e329ce7c08fb94a792dd6e3c029126caa13b2685083bf1160c11dc,21,21.0
a376810ffba8096ca506a73c9614a741cce2169e0d6fa51fd307fa43c8a2a84e,21,21.0
b77cb253b02cbd8c9fb828113628a6aa927d6bd4a90a27ec7e49204e744d0ce5,21,21.0
57f2a953791371a650753ee4f2364983170bbc899bcd8b9673ae562165def4d9,21,21.0
d7edf8074ab4796c07b1caa027c2334132e327a9b01a9aa2e4554cfe84ba20e3,21,21.0
cab4c33cabe9bc56a48da571a1ef7bca2a4f83130474ccb7ee94e1220373ff6c,21,21.0
f6cf8d5d495c748bd063b78d8f6e7daf3cebd36484db4e36747305fb3d8bbdcb,21,21.0
de083c5f49d0bc2e1f3d13e79df42b799585f8774f894d451e3778a7acdf7ebe,20,20.0
6450c30366c0002df597873b98713ad214b9b9558ddbbabc43688a94a43f9dd7,20,20.0
03ad8dd78cd0564e55fcac4cedc33b35fce80d80b78accb63f6766442405f1b5,20,20.0
